order_id,order_cost,deal_category,country,email
UXX58VDI7SD,$7.13,2,Nigeria,nec.luctus@yahoo.org
NPO10QWN4TG,$30.39,9,France,eleifend.nec.malesuada@aol.net
JTK76CIG9CP,$32.94,7,Austria,facilisis.vitae@outlook.com
RVG43RZL3IR,$18.41,5,Austria,enim.etiam.imperdiet@yahoo.couk
CXQ11AKY1OT,$7.15,0,Ireland,phasellus.ornare.fusce@yahoo.org
IFZ01SVP4LB,$57.68,4,Canada,mi.eleifend.egestas@icloud.ca
UJO47ICG1PB,$53.65,5,France,proin@aol.ca
LDN94RLZ1EI,$67.32,4,South Africa,tincidunt.vehicula.risus@protonmail.edu
FJT58ZQR0MA,$17.87,5,Netherlands,arcu@hotmail.ca
NBU65MWW6TR,$37.10,6,Poland,ipsum.non.arcu@protonmail.couk
ENO72TCK2RU,$85.47,6,Spain,felis.donec@hotmail.net
HGN39JKQ7GZ,$80.08,3,United Kingdom,augue@outlook.edu
ZQI31CXW9VP,$81.18,6,Netherlands,erat@aol.edu
BPE42UHP6CN,$96.69,7,Brazil,sit.amet@hotmail.net
BKL63DYJ9GY,$33.61,4,United Kingdom,dui.nec@protonmail.org
IPQ34STK3ZV,$75.29,3,Austria,ipsum.primis@outlook.com
QIF41CPC7YQ,$50.63,3,Australia,eu@outlook.com
XAS04BNE7HL,$64.76,5,Ukraine,velit@aol.couk
WTU62HXS1RS,$62.16,7,Brazil,tempor@outlook.net
VNE35PXT8FW,$32.65,8,Australia,nan
FTB33NFF5BK,$80.83,8,Canada,erat@outlook.com
UJQ26WYS2FP,$60.21,3,Sweden,et.magnis.dis@icloud.com
DHH96SMV0QJ,$45.30,5,Singapore,magna@outlook.edu
PKD46TOO3KU,$97.17,1,Spain,dapibus.id@yahoo.couk
FHV36DFD0XE,$31.48,1,Germany,nunc.quisque@google.net
PYS50BOM6ED,$57.52,4,Austria,mauris.quis.turpis@google.net
ZFB24ZBU5BX,$38.27,0,Germany,rutrum.non.hendrerit@icloud.org
CBR12QXG6VM,$64.24,7,United States,tellus.faucibus@aol.ca
CXL51ISJ3FT,$71.66,9,Ukraine,turpis.in.condimentum@icloud.ca
HHH07KUH8AL,$52.40,5,Norway,egestas.a.scelerisque@hotmail.net
WSG57TBS6XW,$26.41,7,Indonesia,dolor.dapibus.gravida@hotmail.net
ZOA62ELB6RK,$98.87,10,United Kingdom,phasellus.at@icloud.org
YSR28GGR4NU,$15.11,4,Ireland,massa.mauris.vestibulum@protonmail.couk
XQE14NFW7HS,$6.14,9,China,at.pede.cras@aol.org
YTN89VGQ3XR,$48.14,1,Germany,dis.parturient@protonmail.ca
UJW41QXS3HV,$89.21,0,Spain,nan
BMC97IEJ5XU,$12.51,2,Italy,egestas.a.scelerisque@protonmail.edu
XFD18MCN9LO,$51.39,3,Ireland,curabitur@yahoo.com
RGF23VIT3BH,$78.12,7,France,amet@hotmail.ca
RDT09KOW7WP,$8.02,1,China,quisque.fringilla.euismod@icloud.ca
JPH18DON8ZY,$31.35,5,Germany,dui.nec.tempus@hotmail.com
HUU62QPT1ER,$25.46,9,Russian Federation,eget.dictum@icloud.ca
CPJ36KRJ1VG,$47.21,7,Singapore,lectus.cum.sociis@outlook.com
RDQ35QMH8VW,$53.41,9,Norway,cubilia.curae.phasellus@yahoo.ca
NYG38VBF7ZK,$60.96,2,New Zealand,pede.blandit@protonmail.com
EYP25FYG0LN,$41.48,9,Russian Federation,pede.blandit@protonmail.couk
QCO32OAT1LG,$99.37,3,Italy,rutrum.magna.cras@google.ca
ZXW38LOX8XE,$7.44,8,Italy,ultricies@hotmail.net
GFF38UTR4KY,$89.90,6,South Africa,at@google.net
PKO46GSN2CP,$87.11,8,Australia,a@protonmail.couk
